MODEL,domain,scenario,TIME_STEP,rur_attr,environmental_attr,economy_attr,social_attr,anthropic_attr,broadband_infrastructure_population_covered,workforce_specialization,farms,tourist_visitors,Natural_Capital,proportion_of_newcomers,shared_knowledge,social_innovation,proportion_INFANTS,proportion_ELDERLY_POPULATION,proportion_SCHOOL_AGE_POPULATION,proportion_POST_SCHOOL_POPULATION,proportion_WORKING_AGE_POPULATION,proportion_NEWCOMERS
Apulia,INFR,INFR mix,2026.25,0.5257397268554996,0.4004709156949535,0.7543262088866848,0.3987472368381744,0.9211480838984378,0.9211480838984378,0.4500120448400326,1.0,1.0,0.4004709156949535,0.3354884571979305,0.979919763719848,0.8080405269589912,0.0,0.9789600906367786,0.0,0.002283669874764099,0.14854416595732764,0.3354884571979305
Apulia,INFR,INFR mix,2026.5,0.5252923042742402,0.39778024818680374,0.7531622635435993,0.39869788245792975,0.9190152251376732,0.9190152251376732,0.4490158443935198,1.0,1.0,0.39778024818680374,0.3366397310749527,0.9781703296371439,0.8066228229709813,0.0,0.9849937138835552,0.0,0.0,0.14521461347978187,0.3366397310749527
Apulia,INFR,INFR mix,2026.75,0.5249783498469395,0.39511477912155607,0.75198160698591,0.398865429214178,0.916763775595138,0.916763775595138,0.44802948021285627,1.0,1.0,0.39511477912155607,0.3378345619962183,0.9760795431164356,0.805087764897282,0.0,0.9911925114420088,0.0,0.0,0.14175991947943864,0.3378345619962183
Apulia,INFR,INFR mix,2027.0,0.5246390985611612,0.39247444927666236,0.7507821353541908,0.399004078120589,0.9143835616438346,0.9143835616438346,0.4470526658504568,1.0,1.0,0.39247444927666236,0.33906991023178185,0.9737064206247759,0.8034620345066372,0.0,0.9975417319276231,0.0,0.0,0.1381866955627019,0.33906991023178185
Apulia,INFR,INFR mix,2027.25,0.5239874571258479,0.38986596247546274,0.749562857947414,0.39866779000275565,0.9118632117045644,0.9118632117045644,0.44608511555704267,1.0,1.0,0.38986596247546274,0.3403432353734498,0.9710733095015001,0.8017496438481575,0.0,1.0,0.0,0.0,0.13450068592824382,0.3403432353734498
Apulia,INFR,INFR mix,2027.5,0.5231278159880078,0.38730532416797137,0.7483243691692938,0.39801861977618236,0.9091899745731918,0.9091899745731918,0.44512654710530597,1.0,1.0,0.38730532416797137,0.3416524351402806,0.9682011620286401,0.799954682177008,0.0,1.0,0.0,0.0,0.1307068634994319,0.3416524351402806
Apulia,INFR,INFR mix,2027.75,0.5222341546439117,0.38479154591331094,0.7470635070236356,0.3973289588773983,0.9063495036523682,0.9063495036523682,0.4441764855524984,1.0,1.0,0.38479154591331094,0.3430131319850789,0.9650752882632038,0.7980739409743077,0.0,1.0,0.0,0.0,0.12678513668891503,0.3430131319850789
Apulia,INFR,INFR mix,2028.0,0.5213049382505536,0.38232372559217737,0.7457768123241062,0.3965983415430243,0.9033255993812827,0.9033255993812827,0.44323473664707136,1.0,1.0,0.38232372559217737,0.34443165251638186,0.9616915556889115,0.7961066936764193,0.0,1.0,0.0,0.0,0.12272351948912419,0.34443165251638186
Apulia,INFR,INFR mix,2028.25,0.5203401384639068,0.37990102206642795,0.7444604018431479,0.39582888103099495,0.9000999000998989,0.9000999000998989,0.44230108704941257,1.0,1.0,0.37990102206642795,0.3459043736244477,0.9580680791844204,0.7940568719314098,0.0,1.0,0.0,0.0,0.11852623091422924,0.3459043736244477
Apulia,INFR,INFR mix,2028.5,0.5193396316704314,0.37752261886615346,0.7431098798744588,0.3950228271126386,0.896651508887969,0.896651508887969,0.44137527161817147,1.0,1.0,0.37752261886615346,0.34742874773265203,0.9542224332784717,0.7919284308226421,0.0,1.0,0.0,0.0,0.11419708444732925,0.34742874773265203
Apulia,INFR,INFR mix,2028.75,0.5183030627523896,0.3751877216810905,0.7417202595258655,0.39418239787823617,0.892956540355383,0.892956540355383,0.4404570355928543,1.0,1.0,0.3751877216810905,0.3490025232162569,0.9501716606391549,0.7897253778800062,0.0,1.0,0.0,0.0,0.10973949595245112,0.3490025232162569
Apulia,INFR,INFR mix,2029.0,0.5172297543668287,0.37289470576146977,0.740285681461453,0.3933097948698153,0.8889875666074587,0.8889875666074587,0.4395461349383367,1.0,1.0,0.37289470576146977,0.35062371505130346,0.9459322764626947,0.7874517639386632,0.0,1.0,0.0,0.0,0.1051566833243728,0.35062371505130346
Apulia,INFR,INFR mix,2029.25,0.5161186552325793,0.3706413621126245,0.738799328412022,0.39240717013288884,0.8847129352086682,0.8847129352086682,0.4386423447388174,1.0,1.0,0.3706413621126245,0.3522904628479702,0.9415202698608338,0.7851116741546157,0.0,1.0,0.0,0.0,0.10045166148461,0.3522904628479702
Apulia,INFR,INFR mix,2029.5,0.5149683055913894,0.36842575197098026,0.7372534341934792,0.39147656747911724,0.8800959232613894,0.8800959232613894,0.43774549573502664,1.0,1.0,0.36842575197098026,0.3540008212087126,0.9369511031952379,0.7827092234143411,0.0,1.0,0.0,0.0,0.09562713828505144,0.3540008212087126
Apulia,INFR,INFR mix,2029.75,0.5137768358389677,0.3662461331068349,0.7356390421975645,0.39052005452863614,0.8750936797401934,0.8750936797401934,0.4368553981407943,1.0,1.0,0.3662461331068349,0.35575334452679575,0.9322397101591923,0.7802485301452006,0.0,1.0,0.0,0.0,0.09068556139974128,0.35575334452679575
Apulia,INFR,INFR mix,2030.0,0.5125418475059972,0.3641008829693035,0.7339457247899944,0.38953969345933204,0.8696558915537002,0.8696558915537002,0.43597184942696865,1.0,1.0,0.3641008829693035,0.35754694200916787,0.927400493271984,0.7777337049796836,0.0,1.0,0.0,0.0,0.08562915886398499,0.35754694200916787
Apulia,INFR,INFR mix,2030.25,0.5112601575804795,0.3619885369062472,0.7321612560638179,0.3885373250897357,0.8637230853093469,0.8637230853093469,0.4350946581034953,1.0,1.0,0.3619885369062472,0.359379893413276,0.9224473213297906,0.7751688425595318,0.0,1.0,0.0,0.0,0.08045997509174775,0.359379893413276
Apulia,INFR,INFR mix,2030.5,0.509927579490608,0.3599077725421321,0.7302711718354022,0.38751447263238886,0.8572244431753266,0.8572244431753266,0.43422364345955183,1.0,1.0,0.3599077725421321,0.3612494093940267,0.9173935272484052,0.7725580092017083,0.0,1.0,0.0,0.0,0.07517989845333298,0.3612494093940267
Apulia,INFR,INFR mix,2030.75,0.5085386735561934,0.35785738784915105,0.7282581971085333,0.38647227158267106,0.8500749625187387,0.8500749625187387,0.433358635174777,1.0,1.0,0.35785738784915105,0.3631513085759196,0.9122519066372266,0.7699052309390139,0.0,1.0,0.0,0.0,0.06979068951595985,0.3631513085759196
Apulia,INFR,INFR mix,2031.0,0.5070862831229326,0.3558361187444745,0.7261014558613162,0.385411187157164,0.8421717171717151,0.8421717171717151,0.43249944339039104,1.0,1.0,0.3558361187444745,0.36507874328149764,0.9070347173599818,0.7672144769788591,0.0,1.0,0.0,0.0,0.06429400351263916,0.36507874328149764
Apulia,INFR,INFR mix,2031.25,0.5055618690244333,0.3538430306003288,0.7237755617760431,0.3843320397179834,0.8333888703765391,0.8333888703765391,0.4316459079033479,1.0,1.0,0.3538430306003288,0.36702680526166276,0.9017536802939286,0.7644896576655718,0.0,1.0,0.0,0.0,0.05869140897902497,0.36702680526166276
Apulia,INFR,INFR mix,2031.5,0.5039483598689135,0.3518773167427676,0.721249519335813,0.3832254934984137,0.8235709244883535,0.8235709244883535,0.4307993554479447,1.0,1.0,0.3518773167427676,0.36885251534267,0.8963637074359726,0.7617816908789105,0.0,1.0,0.0,0.0,0.05317901248550078,0.36885251534267
