TIME_STEP,farms,Natural_Capital,NEWCOMERS,broadband_infrastructure_population_covered,proportion_of_newcomers,shared_knowledge,social_innovation,tourist_visitors,workforce_specialization,INFANTS,ELDERLY_POPULATION,SCHOOL_AGE_POPULATION,POST_SCHOOL_POPULATION,WORKING_AGE_POPULATION,WORKING_AGE_RURAL_POPULATION,total_rural_population,MODEL,scenario,proportion_INFANTS,proportion_ELDERLY_POPULATION,proportion_SCHOOL_AGE_POPULATION,proportion_POST_SCHOOL_POPULATION,proportion_WORKING_AGE_POPULATION,proportion_NEWCOMERS,domain
2023.75,2966.7087425636983,26475.552126842336,86782.9979523134,74.625,0.26242943957943277,2.438981866769944,0.12128329757309493,1337779.4829680456,0.07349575685570571,15509.843774103787,87430.96157570646,34659.54687723663,24553.19369058073,168537.24125697865,168537.24125697865,330690.7871746063,Hame,INFR Focus Broadband,0.04690134825532505,0.26438886405850337,0.10480953271593933,0.07424819391057462,0.5096520610596575,0.26242943957943277,INFR
2024.0,2945.914398793956,26345.817080306548,87485.67225948702,75.5,0.264906620067011,2.381541952997742,0.12143639729879116,1333125.172777812,0.07427885453706082,15451.108499096716,87362.1101292302,34527.06019586026,24534.13987567855,168376.56648637305,168376.56648637305,330250.9851862388,Hame,INFR Focus Broadband,0.04678595732389218,0.26453247393028667,0.10454794003533215,0.07428937679578151,0.5098442519147075,0.264906620067011,INFR
2024.25,2925.273061707682,26218.018808796194,88152.19263817061,76.375,0.2672938883633351,2.3273522946546388,0.12161802737044525,1328338.1520905264,0.07505418261172704,15394.054889157558,87286.33796804983,34394.36820577415,24509.6589006459,168210.5977149829,168210.5977149829,329795.0176786104,Hame,INFR Focus Broadband,0.046677645397782415,0.2646684555226105,0.10429013891074583,0.07431785681047155,0.5100459033583896,0.2672938883633351,INFR
2024.5,2904.784694698009,26092.123311822674,88783.61615097904,77.25,0.26959432181588544,2.276213953836719,0.12182657179382281,1323436.9157773824,0.07582177568802989,15338.569154916697,87203.68534262652,34261.57488543608,24479.960213804672,168039.23009059732,168039.23009059732,329323.0196873813,Hame,INFR Focus Broadband,0.04657606130745809,0.26479681081938017,0.10403638020190571,0.0743341909018171,0.5102565567694389,0.26959432181588544,INFR
2024.75,2884.449210105385,25968.09703608146,89381.27928387836,78.125,0.2718115419674193,2.227939952261951,0.12206047861794588,1318438.283792856,0.07658168291173265,15284.54770561727,87114.40942573285,34128.78423804443,24445.294379531257,167862.4457649242,167862.4457649242,328835.48151385,Hame,INFR Focus Broadband,0.046480834839513846,0.26491791282585103,0.10378680573314891,0.07433898029188697,0.5104754663095993,0.2718115419674193,INFR
2025.0,2864.2664726737307,25845.906910141322,89946.53645619999,79.0,0.27394964634186836,2.18235434196083,0.12231812689932983,1313275.306724224,0.07733388618963986,15231.86948121939,87018.75579908454,33996.04489489346,24405.89411240114,167679.80502655468,167679.80502655468,328332.3693141532,Hame,INFR Focus Broadband,0.04639161686384115,0.26503252171224007,0.10354155749525124,0.07433289067228466,0.5107014132563829,0.27394964634186836,INFR
2025.25,2844.2363023592293,25725.521383878364,90480.73052103937,79.875,0.27601302000269323,2.1392913746338276,0.12259785976733732,1307736.413811072,0.07807832016303118,15180.403074171098,86916.95569784693,33863.365466750656,24361.961870306684,167490.58342493602,167490.58342493602,327813.26953401143,Hame,INFR Focus Broadband,0.046308079888743164,0.2651416637935368,0.1033007770395861,0.074316582440172,0.5109328968379617,0.27601302000269323,INFR
2025.5,2824.358476837014,25606.912213809148,90985.17175331997,80.75,0.2780051046946915,2.0985948141313497,0.1228982770307921,1301865.1615090242,0.07881505881209781,15130.069203337893,86809.22437699712,33730.8406400947,24313.727931049274,167294.91876601885,167294.91876601885,327278.7809174978,Hame,INFR Focus Broadband,0.04622991188405814,0.2652455015068039,0.10306455110084803,0.07429057228485096,0.511169463223439,0.2780051046946915,INFR
2025.75,2804.63273449393,25490.0512002713,91461.12645344166,81.625,0.2799291856375698,2.0601178469080708,0.12321802559120666,1295701.2713992225,0.07954417807629587,15080.793691951705,86695.76854864265,33598.558288852284,24261.43716075346,167092.95515115935,167092.95515115935,326729.5128413594,Hame,INFR Focus Broadband,0.046156815038848505,0.26534416127488614,0.10283294581094596,0.07425541987244165,0.5114106580028779,0.2799291856375698,INFR
2026.0,2785.058776921773,25374.910240268066,91909.80902577801,82.5,0.28178844289934396,2.0237225895991537,0.12355578742984458,1289280.9510570783,0.08026574670229514,15032.504244192465,86576.78690398078,33466.59392003719,24205.325002407175,166884.78907438132,166884.78907438132,326165.99914499896,Hame,INFR Focus Broadband,0.046088507948707676,0.26543780507756903,0.10260601659205876,0.0742116746253694,0.5116559957562951,0.28178844289934396,INFR
